image,pred,precision,recall,f1,r1_f1,r2_f1,rl_f1,exact_match,normalized_exact_match,char_lev_ratio,token_jaccard
636.png,একজন পুরুষ ও একটি শিশু বসে আছে।,0.571428570612245,0.4444444439506172,0.49999999445312515,0.49999999445312515,0.21052631124653745,0.49999999445312515,0,0,0.5454545454545454,0.3636363633057851
1393.png,কয়েকজন মানুষ আছে।,0.6666666644444444,0.2857142853061225,0.39999999500000005,0.39999999500000005,0.0,0.39999999500000005,0,0,0.2857142857142857,0.24999999968749997
8985.png,দূরে একটি বাড়ি দেখা যাচ্ছে।,0.3999999992,0.6666666644444444,0.49999999406250006,0.49999999406250006,0.33333332777777785,0.49999999406250006,0,0,0.4375,0.33333333277777777
8975.png,দেয়ালে একটি দেয়ালে ঝুলানো আর দেয়ালে লাগানো জায়গায় কেউ ছবি তুলছে।,0.2727272724793388,0.49999999916666665,0.3529411714878893,0.3529411714878893,0.13333332871111125,0.3529411714878893,0,0,0.41463414634146345,0.24999999979166665
5627.png,পাহাড়ি পর্যটন এলাকায় কিছু মানুষ দাড়িয়ে আছে।,0.14285714265306124,0.249999999375,0.1818181768595043,0.1818181768595043,0.0,0.1818181768595043,0,0,0.2857142857142857,0.0999999999
IMG_20220921_123453.jpg,একটি মেয়ে জলের <unk> নিয়ন্ত্রণ <unk>,0.16666666638888888,0.0999999999,0.12499999515625017,0.12499999515625017,0.0,0.12499999515625017,0,0,0.2857142857142857,0.07692307686390532
2374652725_32f90fa15c.jpg,একটি কালো কুকুর তুষার দিয়ে হাঁটছে।,0.49999999916666665,0.29999999969999996,0.37499999484375,0.37499999484375,0.2857142807142858,0.37499999484375,0,0,0.4571428571428572,0.2727272724793388
1613.png,১ জন মহিলা খাতায় কিছু মানুষ দাড়িয়ে আছে।,0.24999999968749997,0.49999999875,0.33333332833333335,0.33333332833333335,0.0,0.33333332833333335,0,0,0.3846153846153846,0.1999999998
7353.png,একজন পুরুষ মাথায় ইট নিচ্ছে।,0.1999999996,0.14285714265306124,0.16666666152777793,0.16666666152777793,0.0,0.16666666152777793,0,0,0.31999999999999995,0.09090909082644627
1134.png,৪ জন ছোট ছেলে একটি শিশু আছে।,0.2857142853061225,0.49999999875,0.36363635834710756,0.36363635834710756,0.10526315346260404,0.36363635834710756,0,0,0.35,0.2222222219753086
3125309108_1011486589.jpg,কিছু লোক একটি রাগবী খেলায় অংশগ্রহণ করছে,0.2857142853061225,0.2222222219753086,0.24999999476562512,0.24999999476562512,0.0,0.24999999476562512,0,0,0.3928571428571429,0.14285714275510203
2371749487_d80195a2e7.jpg,একটি <unk> একটি এটিভিতে একটি লাল এটিভিতে একটি রাস্তায় চার চাকার সাইকেল চালাচ্ছে,0.30769230745562126,0.3636363633057851,0.33333332809027777,0.33333332809027777,0.09090908586776886,0.249999994826389,0,0,0.40740740740740744,0.124999999921875
634.png,একজন পুরুষ মাথায় একটি <unk>,0.3999999992,0.2857142853061225,0.33333332791666676,0.33333332791666676,0.0,0.33333332791666676,0,0,0.41666666666666663,0.1999999998
3180.png,একজন পুরুষ ও একজন নারী নৃত্য করছে। পিছনে কয়েকজন মানুষ আছে।,0.45454545413223135,0.8333333319444445,0.5882352888581315,0.5882352888581315,0.0,0.3529411714878893,0,0,0.39534883720930236,0.45454545413223135
5999.png,একটি <unk>,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2727272727272727,0.0
502671104_b2114246c7.jpg,একটি শিশু একটি পুকুরে পানি ছিটাচ্ছে,0.33333333277777777,0.18181818165289254,0.2352941128027682,0.2352941128027682,0.0,0.2352941128027682,0,0,0.32432432432432434,0.07692307686390532
6214.png,বাইরের রাস্তায় একজন মহিলা চাকাওয়ালা চেয়ারে বসে আছে,0.24999999968749997,0.124999999921875,0.16666666208333344,0.16666666208333344,0.09090908648760351,0.16666666208333344,0,0,0.30000000000000004,0.09999999995
2877088081_7ca408cb25.jpg,একজন স্কেটবোর্ডার একটি বাঁকে ঘুরছে,0.5999999988,0.4285714279591837,0.4999999943055557,0.4999999943055557,0.3999999944,0.4999999943055557,0,0,0.6896551724137931,0.3333333329629629
3352791995_8db4979aca.jpg,একজন মহিলা একটি কাঁচা অন্ধকার ঘরে বসে আছে,0.24999999968749997,0.24999999968749997,0.24999999468750006,0.24999999468750006,0.0,0.24999999468750006,0,0,0.46875,0.15384615372781063
3336759846_5220e27deb.jpg,একজন মহিলা এক নারীর সাথে কথা বলছে।,0.2857142853061225,0.24999999968749997,0.2666666613333334,0.2666666613333334,0.0,0.2666666613333334,0,0,0.5555555555555556,0.15384615372781063
514222285_aa0c8d05b7.jpg,একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে,0.0499999999875,0.2222222219753086,0.08163265002915464,0.08163265002915464,0.0,0.08163265002915464,0,0,0.14070351758793975,0.12499999984374999
8281.png,পানিতে একটি শিশু সাঁতার কাটছে,0.5999999988,0.7499999981250001,0.6666666602469137,0.6666666602469137,0.5714285648979592,0.6666666602469137,0,0,0.6666666666666667,0.49999999916666665
690.png,একজন নারী তাকিয়ে আছে।,0.7499999981250001,0.4285714279591837,0.5454545398347109,0.5454545398347109,0.2222222172839507,0.5454545398347109,0,0,0.5416666666666667,0.37499999953124996
IMG_20220915_163434.jpg,একটি শিশু আছে।,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.16666666666666663,0.0
1170586898.jpg,একটি ছেলে সৈকতে খেলছে,0.249999999375,0.07692307686390532,0.11764705508650528,0.11764705508650528,0.0,0.11764705508650528,0,0,0.2222222222222222,0.0624999999609375
4802.png,একটি মাছ আছে।,0.3333333322222222,0.3333333322222222,0.33333332722222225,0.33333332722222225,0.0,0.33333332722222225,0,0,0.4545454545454546,0.1999999996
7408.png,একটি শিশু আছে।,0.3333333322222222,0.1999999996,0.24999999468750006,0.24999999468750006,0.0,0.24999999468750006,0,0,0.3529411764705882,0.14285714265306124
