image,pred,precision,recall,f1,r1_f1,r2_f1,rl_f1,exact_match,normalized_exact_match,char_lev_ratio,token_jaccard
636.png,একজন পুরুষ ও একটি শিশু বসে আছে।,0.571428570612245,0.4444444439506172,0.49999999445312515,0.49999999445312515,0.21052631124653745,0.49999999445312515,0,0,0.5454545454545454,0.3636363633057851
1393.png,কয়েকজন মানুষ আছে।,0.6666666644444444,0.2857142853061225,0.39999999500000005,0.39999999500000005,0.0,0.39999999500000005,0,0,0.2857142857142857,0.24999999968749997
8985.png,দূরে শহীদ মিনারের সামনে একটি নৌকা যাচ্ছে।,0.14285714265306124,0.3333333322222222,0.1999999954000001,0.1999999954000001,0.0,0.1999999954000001,0,0,0.28260869565217395,0.1111111109876543
8975.png,দেয়ালে একটি দেয়ালে ভর করে দেয়ালে লাগানো,0.14285714265306124,0.16666666638888888,0.15384614863905344,0.15384614863905344,0.0,0.15384614863905344,0,0,0.31999999999999995,0.0999999999
5627.png,কয়েকজন মানুষ দাড়িয়ে আছে।,0.49999999875,0.49999999875,0.4999999937500001,0.4999999937500001,0.33333332722222225,0.4999999937500001,0,0,0.6875,0.33333333277777777
IMG_20220921_123453.jpg,একটি মেয়ে একটি নৌকা থেকে একটি <unk> নিয়ন্ত্রণ <unk>,0.1111111109876543,0.0999999999,0.10526315279778417,0.10526315279778417,0.0,0.10526315279778417,0,0,0.33333333333333337,0.07142857137755101
2374652725_32f90fa15c.jpg,বরফে দুটি কুকুর বরফে দাঁড়িয়ে আছে।,0.33333333277777777,0.16666666652777776,0.22222221753086427,0.22222221753086427,0.12499999554687513,0.22222221753086427,0,0,0.4,0.13333333324444444
1613.png,১ জন মহিলা খাতায় কিছু মানুষ ভিড় করে দাঁড়িয়ে আছে।,0.1999999998,0.49999999875,0.28571428122448983,0.28571428122448983,0.0,0.28571428122448983,0,0,0.3125,0.16666666652777776
7353.png,একজন পুরুষ মাথায় ইট নিচ্ছে।,0.1999999996,0.14285714265306124,0.16666666152777793,0.16666666152777793,0.0,0.16666666152777793,0,0,0.31999999999999995,0.09090909082644627
1134.png,সামনে তিনজন বালিকা চারজন বালিকা বই নিচ্ছে এবং ৪ জন বাচ্চা ভিক্ষুক রাস্তার পাশে গাছ <unk> নেই কিন্তু পানি দেখছে ৪ জন বাচ্চা ভিক্ষুক রাস্তার পাশে গাছ <unk> নেই কিন্তু পানি দেখছে ৪ জন বাচ্চা ভিক্ষুক রাস্তার পাশে গাছ <unk>,0.099999999975,0.28571428551020406,0.14814814425240067,0.14814814425240067,0.0769230731434913,0.14814814425240067,0,0,0.1917808219178082,0.10344827582639714
3125309108_1011486589.jpg,কিছু লোক একটি <unk> <unk> চেষ্টা করছে,0.2857142853061225,0.33333333277777777,0.3076923022485208,0.3076923022485208,0.1818181765289258,0.3076923022485208,0,0,0.43999999999999995,0.1999999998
2371749487_d80195a2e7.jpg,একটি <unk> পাথরের উপর একটি ছোট ছেলে একটি রাস্তায় চার চাকার এটিভিতে চড়ছে,0.3846153843195266,0.45454545413223135,0.4166666613541667,0.4166666613541667,0.09090908586776886,0.33333332809027777,0,0,0.3529411764705882,0.1764705881314879
634.png,একজন পুরুষ মাথায় একটি <unk>,0.3999999992,0.2857142853061225,0.33333332791666676,0.33333332791666676,0.0,0.33333332791666676,0,0,0.41666666666666663,0.1999999998
3180.png,একজন নারী কাঁদছে।,0.3333333322222222,0.16666666638888888,0.2222222172839507,0.2222222172839507,0.0,0.2222222172839507,0,0,0.36363636363636365,0.12499999984374999
5999.png,একটি <unk>,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2727272727272727,0.0
502671104_b2114246c7.jpg,একটি শিশু একটি সুইমিং পুলে সাঁতার কাটছে,0.4285714279591837,0.2727272724793388,0.33333332820987654,0.33333332820987654,0.12499999515625017,0.22222221722222232,0,0,0.3783783783783784,0.14285714275510203
6214.png,বাইরের রাস্তায় দুজন লোক বসে আছে,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2727272727272727,0.0
2877088081_7ca408cb25.jpg,একজন স্কেটবোর্ডার একটি বাঁকে ঘুরছে,0.5999999988,0.4285714279591837,0.4999999943055557,0.4999999943055557,0.3999999944,0.4999999943055557,0,0,0.6896551724137931,0.3333333329629629
3352791995_8db4979aca.jpg,একজন মহিলা একটি কাঁচা ঘরে বসে আছে,0.2857142853061225,0.24999999968749997,0.2666666613333334,0.2666666613333334,0.0,0.2666666613333334,0,0,0.46875,0.16666666652777776
3336759846_5220e27deb.jpg,একটি <unk> পরা একজন মহিলা এক নারীর সাথে কথা বলছে।,0.3999999996,0.3999999996,0.3999999946000001,0.3999999946000001,0.0,0.29999999470000005,0,0,0.4722222222222222,0.26666666648888887
514222285_aa0c8d05b7.jpg,একটি স্নোবোর্ডে একটি স্নোবোর্ডে একটি স্নোবোর্ডে চড়ে ঘুরে বেড়াচ্ছেন।,0.2222222219753086,0.2222222219753086,0.22222221697530875,0.22222221697530875,0.0,0.22222221697530875,0,0,0.36585365853658536,0.09090909082644627
8281.png,পানিতে একটি শিশু সাঁতার কাটছে,0.5999999988,0.7499999981250001,0.6666666602469137,0.6666666602469137,0.5714285648979592,0.6666666602469137,0,0,0.6666666666666667,0.49999999916666665
690.png,একজন নারী তাকিয়ে আছে।,0.7499999981250001,0.4285714279591837,0.5454545398347109,0.5454545398347109,0.2222222172839507,0.5454545398347109,0,0,0.5416666666666667,0.37499999953124996
IMG_20220915_163434.jpg,একটি শিশু আছে।,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.16666666666666663,0.0
1170586898.jpg,সমুদ্রের পারে একজন মহিলা সমুদ্রের দিকে ছুটে যায়।,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34042553191489366,0.0
4802.png,একটি <unk>,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.18181818181818177,0.0
7408.png,একটি মহিলা কোলে একটা বাচ্চাকে কোলে নিয়ে তাকিয়ে আছে।,0.1111111109876543,0.1999999996,0.14285713806122466,0.14285713806122466,0.0,0.14285713806122466,0,0,0.3142857142857143,0.08333333326388888
2555.png,দাড়ি গোঁফ ওয়ালা একজন বয়স্ক নারী তাকিয়ে আছে।,0.37499999953124996,0.2727272724793388,0.31578946847645434,0.31578946847645434,0.0,0.31578946847645434,0,0,0.3902439024390244,0.1874999998828125
5898.png,একটি এশিয়ান লোক ও একটি রাস্তা দিয়ে হেটে যাচ্ছে,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4054054054054054,0.0
